secondarykey,Index Value
4.6,7252984
4.6,9958072
4.6,1231941
4.6,2894383
4.6,2875102
4.6,9995188
4.6,2285929
4.6,9996181
4.6,1279808
4.6,9228396
4.6,2853917
4.6,2260487
4.6,10018407
4.6,1276499
4.6,2269460
4.6,761042
4.6,7111690
4.6,5290817
4.6,10702485
4.6,3821328
4.6,4299234
4.6,1269567
4.6,770060
4.6,12316166
4.6,2280662
4.6,2858582
4.6,1267142
4.6,5282648
4.6,2859010
4.6,9998313
4.6,1261767
4.6,12314653
4.6,7159761
4.6,1229698
4.6,9826290
4.6,9948534
4.6,9945597
4.6,11298389
4.6,7369803
4.6,11298826
4.6,9647599
4.6,7374916
4.6,5029594
4.6,2933832
4.6,11303403
4.6,9857810
4.6,11530976
4.6,812416
4.6,9883123
4.6,12745125
4.6,11303923
4.6,12061578
4.6,1155459
4.6,9852315
4.6,11304526
4.6,2343580
4.6,7426812
4.6,5206172
4.6,9837505
4.6,9081751
4.6,1125241
4.6,2541038
4.6,7366465
4.6,5023622
4.6,9886548
4.6,5248059
4.6,9926929
4.6,12733561
4.6,9926333
4.6,5016753
4.6,2319559
4.6,9052898
4.6,7324711
4.6,2911232
4.6,800183
4.6,12735581
4.6,12736372
4.6,9908352
4.6,802451
4.6,1209735
4.6,10723212
4.6,5020510
4.6,5225759
4.6,804205
4.6,1203238
4.6,1201507
4.6,1199778
4.6,1198279
4.6,56761
4.6,9888537
4.6,9046651
4.6,591614
4.6,3119800
4.6,7882061
4.6,10481916
4.6,5866424
4.6,10196702
4.6,10982635
4.6,6146634
4.6,6145678
4.6,12425789
4.6,8646250
4.6,12532672
4.6,1903247
4.6,5870301
4.6,3625425
4.6,2666202
4.6,3228687
4.6,5631476
4.6,8822894
4.6,8462355
4.6,10189241
4.6,6495025
4.6,8459469
4.6,12615305
4.6,6161100
4.6,6443875
4.6,9378164
4.6,10232928
4.6,2753136
4.6,2753369
4.6,5685484
4.6,6450886
4.6,12878423
4.6,5677349
4.6,5681360
4.6,12942093
4.6,2756024
4.6,3568383
4.6,8485627
4.6,2664486
4.6,8640693
4.6,8641463
4.6,7881727
4.6,8490152
4.6,1671165
4.6,10184352
4.6,10979542
4.6,8831675
4.6,1645474
4.6,11763778
4.6,2702651
